0.0 , 4
0.0 , 5
0.0 , 6
0.0 , 7
0.0 , 8
0.0 , 10
0.0 , 12
0.0 , 15
0.0 , 18
0.0 , 22
0.0 , 27
1.0 , 33
0.0 , 41
1.0 , 51
0.0 , 63
0.0 , 78
1.0 , 97
0.0 , 121
1.0 , 151
1.0 , 188
0.0 , 235
0.0 , 293
1.0 , 366
1.0 , 457
1.0 , 571
1.0 , 713
1.0 , 891
1.0 , 1113
2.0 , 1391
2.0 , 1738
6.0 , 2172
4.0 , 2715
4.0 , 3393
6.0 , 4241
7.0 , 5301
4.0 , 6626
14.0 , 8282
5.0 , 10352
17.0 , 12940
18.0 , 16175
10.0 , 20218
14.0 , 25272
35.0 , 31590
25.0 , 39487
51.0 , 49358
10.0 , 61697
13.0 , 77121
8.0 , 96401
5.0 , 120501
5.0 , 150626
8.0 , 188282
10.0 , 235352
13.0 , 294190
14.0 , 367737
13.0 , 459671
19.0 , 574588
22.0 , 718235
23.0 , 897793
